shotID,sessionID,uniqueid,lineCallType,id,playingPlayerID,receivingPlayerID,in_out,review,status,x,y,ballSpeed,impactSpeed,netHeight,spin,playingx,playingy,receivingx,receivingy,shotType,timestamp,TimeSinceLast,bitNet,bounce_x,bounce_y,bounce_playerPosition_x,bounce_playerPosition_y,bounce2ago_x,bounce2ago_y,stroke,MachineSetting,ServeSide,Type
1025995,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,29.967,-2.138,61.444,43.889,1.351,0,-31.73,5.183,32.721,3.711,NA,1570808880.720,1.8429999351501465,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025996,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,1,NA,-37.605,8.691,72.182,51.558,3.502,0,48.161,-4.339,-31.73,5.183,NA,1570808882.336,1.6159999370574951,0,29.967,-2.138,32.721,3.711,29.77,-2.239,Forehand,Narrow 60 MPH,NA,Cross Court
1025997,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,31.769,3.251,66.732,47.666,1.928,0,-31.73,5.183,50,-5.981,NA,1570808884.080,1.74399995803833,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025998,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,1,NA,-35.249,4.37,71.402,51.002,3.638,0,48.397,-3.337,-31.73,5.183,NA,1570808885.592,1.5120000839233398,0,31.769,3.251,50,-5.981,29.967,-2.138,Forehand,Narrow 60 MPH,NA,Down the Line
1025999,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,32.358,-2.756,58.496,41.783,1.829,0,-31.73,5.183,50,-20,NA,1570808887.266,1.6740000247955322,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025999,12205,89ab63cd469b0589,0,1,Michael,Michael,0,0,NA,0,2.366,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,32.358,-2.756,50,-20,31.769,3.251,Forehand,Narrow 60 MPH,NA,Cross Court
1026000,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,30.972,2.113,62.037,44.312,1.733,0,-28.618,2.94,50,-6.35,NA,1570808890.705,3.438999891281128,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1026001,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,1,NA,-37.905,6.916,59.641,42.601,4.311,0,48.414,-3.758,-29.688,2.18,NA,1570808892.386,1.680999994277954,0,30.972,2.113,50,-6.35,32.358,-2.756,Forehand,Narrow 60 MPH,NA,Down the Line
1026002,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,30.7,-0.758,57.631,41.165,1.621,0,-29.688,2.18,50,-7.438,NA,1570808893.847,1.4609999656677246,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1026003,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-24.705,4.85,71.322,50.944,0.715,0,50,-5.638,-29.688,2.18,NA,1570808895.203,1.3560001850128174,0,30.7,-0.758,50,-7.438,30.972,2.113,Forehand,Narrow 60 MPH,NA,Cross Court
